MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Operator Information						Time:	44.94857	Sec	4/10/2014 10:37:22 AM
User	Luecke
Specimen	RD1
Experiment	201404103
material	IF steel 
w 	12.695	mm
t	1.193	mm
Extensometer 1	MTS 632-11B-20 S/N 925 G=25.4mm
Gauge length pins free?	yes
Control Program	20140408-tension-relaxation-dispcontrol-v1
Test Notes	programmed relaxation test
User Test Notes	first displacment-controlled test on IF steel
Operator Information End

Data Acquisition						Time:	88.029785	Sec	4/10/2014 10:38:05 AM
Time	Axial Displacement	Axial Force	Axial Strain
Sec	mm	N	mm/mm
83.168137	-9.6320076	2473.9353	0.0074459058
83.268066	-9.6219368	2487.3635	0.0075130467
83.368004	-9.6185799	2475.6138	0.0075533311
83.467941	-9.6185799	2478.9709	0.0075936154
83.567871	-9.6152229	2484.0063	0.0076406142
83.667809	-9.611866	2478.9709	0.0076943268
83.767746	-9.611866	2494.0776	0.0077413251
83.867676	-9.6051512	2477.2922	0.0077950377
83.967613	-9.6051512	2500.7915	0.0078286082
84.067551	-9.6051512	2495.7561	0.0078957491
84.16748	-9.5950804	2504.1487	0.0079360334
84.267418	-9.5917234	2504.1487	0.0079964604
84.367355	-9.5883665	2509.1841	0.0080501726
84.467285	-9.5883665	2505.8271	0.0080971709
84.567223	-9.5850096	2495.7561	0.0081374552
84.66716	-9.5816526	2522.6123	0.0081978822
84.76709	-9.5782957	2502.4702	0.0082515944
84.867027	-9.5749378	2517.5769	0.0082851648
84.966965	-9.568224	2512.5413	0.0083388779
85.066895	-9.568224	2505.8271	0.0083858762
85.166832	-9.5581532	2517.5769	0.0084395884
85.266769	-9.5615101	2517.5769	0.0084798727
85.366699	-9.5547962	2544.4331	0.0085335858
85.466637	-9.5547962	2519.2554	0.0085940128
85.566574	-9.5480824	2532.6833	0.0086342972
85.666504	-9.5480824	2515.8982	0.0086880093
85.766441	-9.5447245	2546.1116	0.0087350076
85.866379	-9.5380106	2542.7546	0.0087954346
85.966309	-9.5380106	2525.9695	0.0088424329
86.066246	-9.5380106	2557.8613	0.008896146
86.166183	-9.5279398	2537.719	0.0089632859
86.266113	-9.5212259	2546.1116	0.0090035712
86.366051	-9.5245829	2532.6833	0.0090371408
86.465988	-9.5245829	2547.79	0.00908414
86.565918	-9.517869	2551.1472	0.0091378521
86.665855	-9.5111542	2569.6108	0.0091915652
86.765793	-9.5077972	2554.5042	0.0092519913
86.865723	-9.5077972	2542.7546	0.0092989895
86.96566	-9.5077972	2566.2539	0.00933256
87.065598	-9.5010834	2556.1826	0.0093997009
87.165527	-9.4977264	2564.5754	0.0094399853
87.265465	-9.4977264	2549.4688	0.0094802696
87.365402	-9.4910126	2567.9324	0.0095272688
87.465332	-9.4842978	2572.968	0.009580981
87.565269	-9.4809408	2574.6465	0.009641408
87.665207	-9.4809408	2571.2893	0.0096884063
87.765137	-9.4842978	2566.2539	0.0097421184
87.865074	-9.474227	2593.1101	0.0097958315
87.965012	-9.47087	2578.0034	0.0098562576

Data Acquisition						Time:	373.9035	Sec	4/10/2014 10:42:51 AM
Time	Axial Displacement	Axial Force	Axial Strain
Sec	mm	N	mm/mm
89.040207	-9.4675131	2415.187	0.009889828
90.040207	-9.4675131	2415.187	0.0099032568
91.040207	-9.47087	2391.688	0.0099099707
92.040207	-9.4675131	2371.5459	0.009889828
93.040207	-9.47087	2358.1177	0.0099099707
94.040207	-9.4675131	2383.2954	0.0099166846
95.040207	-9.4675131	2344.6895	0.009889828
96.040207	-9.4675131	2311.1191	0.009889828
97.040207	-9.474227	2309.4407	0.0098764002
98.040207	-9.47087	2301.0481	0.0098764002
99.040207	-9.4675131	2282.5842	0.0098764002
100.04021	-9.47087	2322.8689	0.009889828
101.04021	-9.47087	2331.2615	0.0098831141
102.04021	-9.4641562	2339.6541	0.0099032568
103.04021	-9.47087	2317.8333	0.0098764002
104.04021	-9.4675131	2349.7251	0.0098831141
105.04021	-9.4675131	2329.5828	0.0098965419
106.04021	-9.474227	2363.1533	0.0098965419
107.04021	-9.47087	2336.2969	0.0098965419
108.04021	-9.4675131	2388.3311	0.0099368272
109.04021	-9.47087	2368.1887	0.0099032568
110.04021	-9.47087	2376.5813	0.0099166846
111.04021	-9.47087	2359.7961	0.0099099707
112.04021	-9.4675131	2368.1887	0.0099099707
113.04021	-9.4675131	2354.7607	0.0099099707
114.04021	-9.47087	2326.2258	0.0099032568
115.04021	-9.474227	2351.4036	0.0098965419
116.04021	-9.4675131	2282.5842	0.0098965419
117.04021	-9.4675131	2297.6909	0.0098965419
118.04021	-9.47087	2287.6199	0.009889828
119.04021	-9.47087	2312.7976	0.0098965419
120.04021	-9.4675131	2284.2629	0.009889828
121.04021	-9.47087	2289.2983	0.009889828
122.04021	-9.474227	2282.5842	0.0098831141
123.04021	-9.4675131	2290.9771	0.0099099707
124.04021	-9.4675131	2274.1917	0.0098764002
125.04021	-9.47087	2233.9072	0.0098831141
126.04021	-9.4675131	2247.3354	0.009889828
127.04021	-9.474227	2321.1902	0.0099032568
128.04021	-9.4675131	2314.4763	0.0098965419
129.04021	-9.47087	2309.4407	0.0099032568
130.04021	-9.47087	2319.5117	0.0099166846
131.04021	-9.47087	2316.1548	0.0099032568
132.04021	-9.47087	2272.5132	0.0098764002
133.04021	-9.4675131	2324.5474	0.0099032568
134.04021	-9.4675131	2294.334	0.0098831141
135.04021	-9.47087	2317.8333	0.009889828
136.04021	-9.4675131	2353.082	0.0099099707
137.04021	-9.474227	2287.6199	0.009889828
138.04021	-9.47087	2296.0125	0.009889828
139.04021	-9.474227	2301.0481	0.009889828
140.04021	-9.47087	2349.7251	0.0099233985
141.04021	-9.4675131	2343.011	0.0099099707
142.04021	-9.47087	2324.5474	0.0099099707
143.04021	-9.47087	2337.9756	0.0099099707
144.04021	-9.474227	2287.6199	0.0098831141
145.04021	-9.4675131	2327.9043	0.0099032568
146.04021	-9.4675131	2353.082	0.0099099707
147.04021	-9.47087	2311.1191	0.0099032568
148.04021	-9.4675131	2349.7251	0.0099233985
149.04021	-9.4675131	2376.5813	0.0099301124
150.04021	-9.47087	2376.5813	0.0099233985
151.04021	-9.4675131	2356.4392	0.0099166846
152.04021	-9.47087	2299.3696	0.0099099707
153.04021	-9.47087	2299.3696	0.0099032568
154.04021	-9.47087	2299.3696	0.0099099707
155.04021	-9.474227	2346.3682	0.0099166846
156.04021	-9.474227	2343.011	0.0099166846
157.04021	-9.4675131	2343.011	0.0099166846
158.04021	-9.4675131	2297.6909	0.0099032568
159.04021	-9.4675131	2371.5459	0.0099368272
160.04021	-9.47087	2373.2244	0.0099301124
161.04021	-9.47087	2363.1533	0.0099301124
162.04021	-9.4675131	2359.7961	0.0099233985
163.04021	-9.4675131	2337.9756	0.0099099707
164.04021	-9.4775839	2351.4036	0.0099233985
165.04021	-9.4675131	2329.5828	0.0099301124
166.04021	-9.47087	2272.5132	0.0099099707
167.04021	-9.47087	2316.1548	0.0099166846
168.04021	-9.47087	2311.1191	0.0099166846
169.04021	-9.4675131	2307.7622	0.0099166846
170.04021	-9.4675131	2353.082	0.0099233985
171.04021	-9.4675131	2280.9058	0.0099099707
172.04021	-9.4675131	2282.5842	0.0099166846
173.04021	-9.4675131	2284.2629	0.0099099707
174.04021	-9.474227	2334.6184	0.0099435411
175.04021	-9.47087	2304.405	0.0099166846
176.04021	-9.47087	2322.8689	0.0099233985
177.04021	-9.4675131	2326.2258	0.0099301124
178.04021	-9.47087	2316.1548	0.0099233985
179.04021	-9.4675131	2282.5842	0.0099099707
180.04021	-9.4675131	2297.6909	0.0098965419
181.04021	-9.4641562	2356.4392	0.0099368272
182.04021	-9.4675131	2337.9756	0.0099301124
183.04021	-9.47087	2341.3325	0.0099233985
184.04021	-9.47087	2368.1887	0.0099368272
185.04021	-9.47087	2332.9399	0.0099166846
186.04021	-9.47087	2306.0835	0.0099233985
187.04021	-9.47087	2304.405	0.0099166846
188.04021	-9.47087	2302.7266	0.0099166846
189.04021	-9.4675131	2311.1191	0.0099301124
190.04021	-9.4775839	2337.9756	0.0099301124
191.04021	-9.47087	2294.334	0.0099233985
192.04021	-9.4675131	2339.6541	0.0099368272
193.04021	-9.4675131	2341.3325	0.0099233985
194.04021	-9.47087	2337.9756	0.0099301124
195.04021	-9.47087	2319.5117	0.0099233985
196.04021	-9.4675131	2297.6909	0.0099099707
197.04021	-9.47087	2311.1191	0.0099233985
198.04021	-9.4675131	2299.3696	0.0099166846
199.04021	-9.47087	2373.2244	0.0099435411
200.04021	-9.4675131	2364.8318	0.0099368272
201.04021	-9.47087	2358.1177	0.0099301124
202.04021	-9.47087	2341.3325	0.0099301124
203.04021	-9.47087	2314.4763	0.0099233985
204.04021	-9.47087	2285.9414	0.0099166846
205.04021	-9.4675131	2279.2273	0.0099099707
206.04021	-9.47087	2314.4763	0.0099301124
207.04021	-9.47087	2294.334	0.0099099707
208.04021	-9.4675131	2297.6909	0.0099166846
209.04021	-9.474227	2317.8333	0.0099166846
210.04021	-9.47087	2307.7622	0.0099166846
211.04021	-9.47087	2321.1902	0.0099166846
212.04021	-9.4675131	2279.2273	0.0099099707
213.04021	-9.47087	2289.2983	0.0099099707
214.04021	-9.47087	2322.8689	0.0099166846
215.04021	-9.47087	2290.9771	0.0099166846
216.04021	-9.4675131	2314.4763	0.0099233985
217.04021	-9.474227	2317.8333	0.0099032568
218.04021	-9.4675131	2343.011	0.0099233985
219.04021	-9.47087	2297.6909	0.0099166846
220.04021	-9.47087	2312.7976	0.0099301124
221.04021	-9.4675131	2270.8347	0.0099099707
222.04021	-9.4775839	2237.2644	0.009889828
223.04021	-9.47087	2294.334	0.0099233985
224.04021	-9.47087	2299.3696	0.0099233985
225.04021	-9.4675131	2252.3711	0.0099032568
226.04021	-9.47087	2314.4763	0.0099166846
227.04021	-9.47087	2322.8689	0.0099233985
228.04021	-9.4675131	2274.1917	0.0099099707
229.04021	-9.4675131	2254.0496	0.0099032568
230.04021	-9.47087	2238.9429	0.0099032568
231.04021	-9.47087	2245.657	0.0099032568
232.04021	-9.4675131	2235.5857	0.0098965419
233.04021	-9.4675131	2272.5132	0.0099099707
234.04021	-9.4675131	2237.2644	0.0098965419
235.04021	-9.4641562	2252.3711	0.0099032568
236.04021	-9.47087	2259.085	0.0099099707
237.04021	-9.474227	2269.1563	0.0099032568
238.04021	-9.4675131	2245.657	0.009889828
239.04021	-9.4675131	2272.5132	0.0099166846
240.04021	-9.4675131	2292.6555	0.0099166846
241.04021	-9.4675131	2259.085	0.0099099707
242.04021	-9.474227	2297.6909	0.0099099707
243.04021	-9.47087	2259.085	0.0099099707
244.04021	-9.474227	2257.4065	0.0099032568
245.04021	-9.474227	2275.8704	0.0099099707
246.04021	-9.4675131	2290.9771	0.0099166846
247.04021	-9.4675131	2274.1917	0.0099166846
248.04021	-9.47087	2344.6895	0.0099301124
249.04021	-9.4675131	2336.2969	0.0099301124
250.04021	-9.474227	2329.5828	0.0099301124
251.04021	-9.47087	2327.9043	0.0099301124
252.04021	-9.4675131	2285.9414	0.0099166846
